match,player1,player2,result_p1,winner,steps,points_p1,points_p2,reward_WinLoss,reward_ResourceGather,reward_ProduceWorker,reward_ProduceBuilding,reward_Attack,reward_ProduceCombatUnit,map,seed
1,FeudalNet,randomAI,WIN,FeudalNet,496,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
2,FeudalNet,randomAI,WIN,FeudalNet,555,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
3,FeudalNet,randomAI,WIN,FeudalNet,525,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
4,FeudalNet,randomAI,WIN,FeudalNet,508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
5,FeudalNet,randomAI,WIN,FeudalNet,505,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
6,FeudalNet,randomAI,WIN,FeudalNet,535,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
7,FeudalNet,randomAI,WIN,FeudalNet,508,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
8,FeudalNet,randomAI,WIN,FeudalNet,505,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
9,FeudalNet,randomAI,WIN,FeudalNet,570,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
10,FeudalNet,randomAI,WIN,FeudalNet,546,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
11,FeudalNet,randomBiasedAI,WIN,FeudalNet,686,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
12,FeudalNet,randomBiasedAI,WIN,FeudalNet,610,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
13,FeudalNet,randomBiasedAI,WIN,FeudalNet,630,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
14,FeudalNet,randomBiasedAI,WIN,FeudalNet,635,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
15,FeudalNet,randomBiasedAI,WIN,FeudalNet,650,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
16,FeudalNet,randomBiasedAI,WIN,FeudalNet,656,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
17,FeudalNet,randomBiasedAI,WIN,FeudalNet,615,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
18,FeudalNet,randomBiasedAI,WIN,FeudalNet,625,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
19,FeudalNet,randomBiasedAI,WIN,FeudalNet,629,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
20,FeudalNet,randomBiasedAI,WIN,FeudalNet,815,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
21,FeudalNet,passiveAI,WIN,FeudalNet,476,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
22,FeudalNet,passiveAI,WIN,FeudalNet,475,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
23,FeudalNet,passiveAI,WIN,FeudalNet,475,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
24,FeudalNet,passiveAI,WIN,FeudalNet,478,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,maps/16x16/basesWorkers16x16.xml,42
25,FeudalNet,passiveAI,WIN,FeudalNet,476,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,maps/16x16/basesWorkers16x16.xml,42
26,FeudalNet,passiveAI,WIN,FeudalNet,486,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,maps/16x16/basesWorkers16x16.xml,42
