vs,FeudalNet,coacAI,izanagi,mayari,droplet,workerRushAI,mixedBot,tiamat,lightRushAI,guidedRojoA3N,naiveMCTSAI,rojo,randomBiasedAI,randomAI,passiveAI,TOTAL
FeudalNet,-,8.5,5.5,10.0,10.0,10.0,7.0,8.0,8.0,10.0,9.5,10.0,10.0,10.0,10.0,126.5
coacAI,1.5,-,5.0,10.0,5.0,5.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,115.5
izanagi,4.5,5.0,-,6.0,0.0,0.0,7.5,10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,102.5
mayari,0.0,0.0,4.0,-,9.0,7.0,4.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,102.0
droplet,0.0,5.0,10.0,1.0,-,5.0,9.0,10.0,10.0,4.0,7.0,4.0,10.0,10.0,10.0,95.0
workerRushAI,0.0,5.0,10.0,3.0,5.0,-,10.0,10.0,10.0,0.5,5.5,5.0,10.0,10.0,10.0,94.0
mixedBot,3.0,1.0,2.5,6.0,1.0,0.0,-,7.0,8.5,10.0,10.0,10.0,10.0,10.0,10.0,89.0
tiamat,2.0,0.0,0.0,0.0,0.0,0.0,3.0,-,9.0,10.0,8.0,10.0,10.0,10.0,10.0,72.0
lightRushAI,2.0,0.0,0.5,0.0,0.0,0.0,1.5,1.0,-,10.0,9.5,10.0,10.0,10.0,10.0,64.5
guidedRojoA3N,0.0,0.0,0.0,0.0,6.0,9.5,0.0,0.0,0.0,-,3.0,6.0,10.0,10.0,10.0,54.5
naiveMCTSAI,0.5,0.0,0.0,2.0,3.0,4.5,0.0,2.0,0.5,7.0,-,5.0,9.5,9.5,10.0,53.5
rojo,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,4.0,5.0,-,10.0,10.0,10.0,50.0
randomBiasedAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-,6.0,6.5,13.0
randomAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.0,-,5.0,9.5
passiveAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0,-,8.5
