vs,FeudalNet,coacAI,izanagi,mayari,droplet,workerRushAI,mixedBot,tiamat,lightRushAI,guidedRojoA3N,naiveMCTSAI,rojo,randomBiasedAI,randomAI,passiveAI,TOTAL
FeudalNet,-,80.0,50.0,100.0,100.0,100.0,70.0,80.0,80.0,100.0,90.0,100.0,100.0,100.0,100.0,89.3
coacAI,10.0,-,30.0,100.0,50.0,50.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.7
izanagi,40.0,30.0,-,60.0,0.0,0.0,70.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,70.7
mayari,0.0,0.0,40.0,-,90.0,70.0,30.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,70.7
droplet,0.0,50.0,100.0,10.0,-,0.0,90.0,100.0,100.0,10.0,40.0,0.0,100.0,100.0,100.0,57.1
workerRushAI,0.0,50.0,100.0,30.0,0.0,-,100.0,100.0,100.0,0.0,10.0,0.0,100.0,100.0,100.0,56.4
mixedBot,30.0,10.0,20.0,50.0,10.0,0.0,-,70.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,62.1
tiamat,20.0,0.0,0.0,0.0,0.0,0.0,30.0,-,80.0,100.0,60.0,100.0,100.0,100.0,100.0,49.3
lightRushAI,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,-,100.0,90.0,100.0,100.0,100.0,100.0,44.3
guidedRojoA3N,0.0,0.0,0.0,0.0,30.0,90.0,0.0,0.0,0.0,-,0.0,20.0,100.0,100.0,100.0,31.4
naiveMCTSAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-,0.0,90.0,90.0,100.0,22.9
rojo,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-,100.0,100.0,100.0,22.9
randomBiasedAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,20.0,30.0,3.6
randomAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0
passiveAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0
