opponent,game,repeat,side,result,steps,reward_WinLoss,reward_ResourceGather,reward_ProduceWorker,reward_ProduceBuilding,reward_Attack,reward_ProduceCombatUnit,checkpoint,map,sides,seed,num_games,repeats,parallel
randomAI,1,1,p1,WIN,480,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,2,1,p1,WIN,485,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,3,1,p1,WIN,486,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,4,1,p1,WIN,490,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,5,1,p1,WIN,490,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,6,1,p1,WIN,491,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,7,1,p1,WIN,491,1.0,3.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,8,1,p1,WIN,491,1.0,3.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,9,1,p1,WIN,492,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,10,1,p1,WIN,495,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,11,1,p1,WIN,495,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,12,1,p1,WIN,495,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,13,1,p1,WIN,502,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,14,1,p1,WIN,505,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,15,1,p1,WIN,505,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,16,1,p1,WIN,505,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,17,1,p1,WIN,505,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,18,1,p1,WIN,516,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,19,1,p1,WIN,525,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,20,1,p1,WIN,529,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,21,1,p1,WIN,535,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
randomAI,22,1,p1,WIN,535,1.0,0.0,0.0,0.0,0.0,0.0,tqlgxayp_GOOD.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
