metric,randomAI,randomBiasedAI,passiveAI,workerRushAI,lightRushAI,coacAI,rojo,naiveMCTSAI,mayari,mixedBot,izanagi,tiamat,droplet,guidedRojoA3N,OVERALL
checkpoint,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt,tqlgxayp_GOOD.pt
map,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml
sides,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1
seed,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
num_games,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
repeats,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
parallel,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
,,,,,,,,,,,,,,,
games,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,14000
wins,1000,1000,1000,1000,841,882,1000,790,992,778,428,886,923,1000,12501
losses,0,0,0,0,131,82,0,30,6,220,556,104,75,0,1227
draws,0,0,0,0,28,36,0,180,2,2,16,10,2,0,272
win_pct,100,100,100,100,84.1,88.2,100,79,99.2,77.8,42.8,88.6,92.3,100,89.29
win_pct_std,0,0,0,0,2.45,3.49,0,4.45,0.33,4.4,4.39,1.55,0.38,0,0.91
win_pct_reps,100;100;100;100,100;100;100;100,100;100;100;100,100;100;100;100,84.8;82.8;81.6;87.2,92;83.6;88;89.2,100;100;100;100,80.8;79.2;72.8;83.2,99.2;99.6;98.8;99.2,82;78.8;71.6;78.8,41.6;37.2;47.2;45.2,89.2;88.8;86.4;90,92;92.4;92.8;92,100;100;100;100,89.77;89.03;88.14;90.23
loss_pct,0,0,0,0,13.1,8.2,0,3,0.6,22,55.6,10.4,7.5,0,8.76
draw_pct,0,0,0,0,2.8,3.6,0,18,0.2,0.2,1.6,1,0.2,0,1.94
capped,0,0,0,0,28,36,0,180,2,2,16,10,2,0,272
steps_all_mean,517.82,632.66,476.93,790.81,1237.57,1168.12,779.25,1145.06,941.45,878.48,1111.47,955.62,827.86,800.79,876.75
steps_all_std,41.91,86.32,8.11,72.66,335.94,323.65,72.08,463.43,185.54,340.13,361.16,359.54,110.88,89.35,340.4
steps_all_median,505,627,476,766,1146,1045.5,758.5,928,885,705,1105.5,865,792,776,786
steps_all_min,435,472,395,641,564,677,662,630,656,445,470,434,585,655,395
steps_all_max,915,1205,535,1242,2000,2000,1259,2000,2000,2000,2000,2000,2000,1516,2000
steps_win_mean,517.82,632.66,476.93,790.81,1141.87,1077.36,779.25,935.08,935.16,749.3,824.86,881.54,826.36,800.79,
steps_win_std,41.91,86.32,8.11,72.66,252.72,203.94,72.08,229.06,171.11,214.16,251.87,286.69,97.5,89.35,
steps_win_median,505,627,476,766,1091,1025,758.5,839.5,885,671,781.5,815,790,776,
steps_win_min,435,472,395,641,564,677,662,630,656,445,470,434,667,655,
steps_win_max,915,1205,535,1242,1982,1857,1259,1990,1967,1705,1817,1752,1520,1516,
steps_loss_mean,,,,,1688.99,1779.13,,1544.83,1628.5,1325.12,1306.54,1486.34,815.13,,
steps_loss_std,,,,,254.47,253.64,,259.9,230.66,306.3,248.5,331.71,100.95,,
steps_loss_median,,,,,1768,1865,,1545,1624,1295.5,1243.5,1508.5,815,,
steps_loss_min,,,,,964,995,,1090,1349,853,808,800,585,,
steps_loss_max,,,,,1983,1999,,1990,1897,1922,1989,1980,1175,,
steps_draw_mean,,,,,2000,2000,,2000,2000,2000,2000,2000,2000,,
steps_draw_std,,,,,0,0,,0,0,0,0,0,0,,
steps_draw_median,,,,,2000,2000,,2000,2000,2000,2000,2000,2000,,
steps_draw_min,,,,,2000,2000,,2000,2000,2000,2000,2000,2000,,
steps_draw_max,,,,,2000,2000,,2000,2000,2000,2000,2000,2000,,
p1_wins,1000,1000,1000,1000,841,882,1000,790,992,778,428,886,923,1000,
p1_losses,0,0,0,0,131,82,0,30,6,220,556,104,75,0,
p1_draws,0,0,0,0,28,36,0,180,2,2,16,10,2,0,
p1_win_pct,100,100,100,100,84.1,88.2,100,79,99.2,77.8,42.8,88.6,92.3,100,
p2_wins,,,,,,,,,,,,,,,
p2_losses,,,,,,,,,,,,,,,
p2_draws,,,,,,,,,,,,,,,
p2_win_pct,,,,,,,,,,,,,,,
mean_reward_WinLoss,1,1,1,1,0.71,0.8,1,0.76,0.986,0.558,-0.128,0.782,0.848,1,
mean_reward_ResourceGather,0.102,0.078,0.014,0.127,0.096,0.097,0.135,0.056,0.12,0.063,0.024,0.115,0.083,0.105,
mean_reward_ProduceWorker,0.027,0.016,0,0.026,0.021,0.019,0.023,0.018,0.042,0.018,0.007,0.026,0.009,0.017,
mean_reward_ProduceBuilding,0,0,0,0,0.001,0,0,0,0.001,0,0,0.001,0,0.001,
mean_reward_Attack,0.021,0.017,0.152,0.029,0.055,0.022,0.03,0.019,0.033,0.05,0.05,0.09,0.037,0.039,
mean_reward_ProduceCombatUnit,0.002,0.009,0,0.006,0.008,0.003,0.009,0.009,0.008,0.009,0,0.003,0.005,0.006,
