global_step,eval/winrate,episode/total_reward,episode/length,worker/entropy,worker/intrinsic_reward,worker/advantage,manager/cosines,manager/advantage,loss/total,loss/worker,loss/manager,loss/value_worker,loss/value_manager,ppg/aux_value_worker,charts/learning_rate,charts/steps_per_sec,charts/episode_reward/WinLossRewardFunction,charts/episode_reward/ResourceGatherRewardFunction,charts/episode_reward/ProduceWorkerRewardFunction,charts/episode_reward/ProduceBuildingRewardFunction,charts/episode_reward/AttackRewardFunction,charts/episode_reward/ProduceCombatUnitRewardFunction
168000.0,,-15.8,716.0,,,,,,,,,,,,,,-1.0,2.0,1.0,1.0,1.0,0.0
172800.0,,31.0,645.0,,,,,,,,,,,,,,-1.0,6.0,37.0,0.0,8.0,0.0
192000.0,,125.2,4000.0,,,,,,,,,,,,,,0.0,48.0,20.0,1.0,53.0,1.0
213600.0,,,,,,,,,,,,,,,,1683.062101029444,,,,,,
216000.0,,-7.0,818.0,,,,,,,,,,,,,,-1.0,6.0,7.0,0.0,0.0,0.0
326400.0,,-9.0,835.0,,,,,,,,,,,,,,-1.0,5.0,6.0,0.0,0.0,0.0
374400.0,,6.0,779.0,,,,,,,,,,,,,,-1.0,5.0,6.0,0.0,15.0,0.0
511200.0,,6.0,650.0,,,,,,,,,,,,,,-1.0,8.0,8.0,0.0,10.0,0.0
525600.0,,,,0.0005100809503346682,0.14918924868106842,-1.19209286886246e-09,0.35309693217277527,-1.5894572324981482e-09,4.419788837432861,-0.00010009495599661022,0.10331300646066666,2.279808521270752,2.2431983947753906,,0.0003999977485988502,,,,,,,
592800.0,,0.0,895.0,,,,,,,,,,,,,,-1.0,11.0,8.0,0.0,1.0,0.0
660000.0,,-13.0,815.0,,,,,,,,,,,,,,-1.0,1.0,5.0,0.0,1.0,0.0
722400.0,,-3.0,783.0,,,,,,,,,,,,,,-1.0,1.0,5.0,0.0,11.0,0.0
770400.0,,,,2.0579196643666364e-05,0.0055670239962637424,-3.1789144649962964e-09,0.06784402579069138,-7.947286162490741e-10,2.2606258392333984,-5.583408892562147e-06,0.023341696709394455,1.1316256523132324,1.1523367166519165,,0.0003999951489181928,,,,,,,
789600.0,,8.0,915.0,,,,,,,,,,,,,,-1.0,5.0,6.0,0.0,17.0,0.0
804000.0,,-12.0,828.0,,,,,,,,,,,,,,-1.0,2.0,5.0,0.0,1.0,0.0
825600.0,,,,,,,,,,,,,,1.062401533126831,,,,,,,,
960000.0,,17.0,4000.0,,,,,,,,,,,,,,0.0,2.0,5.0,0.0,10.0,0.0
979200.0,,,,0.00027571205282583833,0.008463961072266102,5.563100202721216e-09,0.01528424583375454,7.947286162490741e-10,1.785768985748291,-4.599012390826829e-05,0.09878470003604889,0.7123478651046753,1.1721625328063965,,0.00039999215259594787,,,,,,,
984000.0,,27.0,905.0,,,,,,,,,,,,,,-1.0,27.0,16.0,0.0,4.0,0.0
1039200.0,,,,0.0003312886692583561,0.06101984903216362,1.1920929132713809e-08,0.14297975599765778,7.3512396170372085e-09,1.6703583002090454,-7.871122215874493e-05,0.10660383850336075,0.6141786575317383,1.1627081632614136,,0.00039999115894260223,,,,,,,
