opponent,game,repeat,side,result,steps,reward_WinLoss,reward_ResourceGather,reward_ProduceWorker,reward_ProduceBuilding,reward_Attack,reward_ProduceCombatUnit,checkpoint,map,sides,seed,num_games,repeats,parallel
coacAI,1,1,p1,WIN,1014,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,2,1,p1,WIN,1071,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,3,1,p1,WIN,1087,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,4,1,p1,WIN,1089,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,5,1,p1,WIN,1090,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,6,1,p1,WIN,1092,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,7,1,p1,WIN,1092,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,8,1,p1,WIN,1096,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,9,1,p1,WIN,1096,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,10,1,p1,WIN,1096,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,11,1,p1,WIN,1098,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,12,1,p1,WIN,1106,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,13,1,p1,WIN,1108,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,14,1,p1,WIN,1108,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,15,1,p1,WIN,1112,1.0,1.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,16,1,p1,WIN,1116,1.0,0.0,0.0,0.0,1.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,17,1,p1,WIN,1137,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
coacAI,18,1,p1,WIN,1141,1.0,0.0,0.0,0.0,0.0,0.0,example_models/16x16/agent.pt,maps/16x16/basesWorkers16x16.xml,p1,42,250,4,28
