metric,coacAI
checkpoint,example_models/16x16/agent.pt
map,maps/16x16/basesWorkers16x16.xml
sides,p1
seed,42
num_games,250
repeats,4
parallel,28

games,1000
wins,874
losses,71
draws,55
win_pct,87.4
win_pct_std,2.18
win_pct_reps,88;90;86.8;84.8
loss_pct,7.1
draw_pct,5.5
capped,55
steps_all_mean,1184.85
steps_all_std,236.66
steps_all_median,1118.0
steps_all_min,721.0
steps_all_max,2000.0
steps_win_mean,1121.4
steps_win_std,88.45
steps_win_median,1117.0
steps_win_min,721.0
steps_win_max,1751.0
steps_loss_mean,1334.42
steps_loss_std,326.62
steps_loss_median,1349.0
steps_loss_min,821.0
steps_loss_max,1999.0
steps_draw_mean,2000.0
steps_draw_std,0.0
steps_draw_median,2000.0
steps_draw_min,2000.0
steps_draw_max,2000.0
p1_wins,874
p1_losses,71
p1_draws,55
p1_win_pct,87.4
p2_wins,
p2_losses,
p2_draws,
p2_win_pct,
mean_reward_WinLoss,0.803
mean_reward_ResourceGather,0.033
mean_reward_ProduceWorker,0.011
mean_reward_ProduceBuilding,0.0
mean_reward_Attack,0.067
mean_reward_ProduceCombatUnit,0.002
