metric,randomAI,randomBiasedAI,passiveAI,workerRushAI,lightRushAI,coacAI,rojo,naiveMCTSAI,mayari,mixedBot,izanagi,tiamat,droplet,guidedRojoA3N,OVERALL
checkpoint,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt,example_models/16x16/agent.pt
map,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml,maps/16x16/basesWorkers16x16.xml
sides,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1,p1
seed,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
num_games,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
repeats,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
parallel,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
,,,,,,,,,,,,,,,
games,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,14000
wins,996,989,1000,528,969,874,999,107,881,939,717,991,209,788,10994
losses,0,0,0,372,30,71,0,0,39,9,135,9,627,0,1288
draws,4,11,0,100,1,55,1,893,80,52,148,0,164,212,1718
